"id","first_name","last_name","position","height_feet","height_inches","weight_pounds","team_id","updated_at","created_at","public_id"
77083,"Cedric","Hunter","",NULL,NULL,NULL,1610612766,"2019-01-12 13:01:16.345918-08","2019-01-12 13:01:16.345918-08",720
76097,"Stephen","Bardo","",NULL,NULL,NULL,1610612759,"2019-01-12 13:01:37.909491-08","2019-01-12 13:01:37.909491-08",721
77986,"Cliff","T. Robinson","",NULL,NULL,NULL,1610612747,"2019-01-12 13:05:07.520342-08","2019-01-12 13:05:07.520342-08",722
400,"Derek","Strong","",NULL,NULL,NULL,1610612764,"2019-01-12 13:05:23.188798-08","2019-01-12 13:05:23.188798-08",723
184,"Bobby","Phills","",NULL,NULL,NULL,1610612739,"2019-01-12 13:05:23.210551-08","2019-01-12 13:05:23.210551-08",724
138,"Anthony","Avent","",NULL,NULL,NULL,1610612749,"2019-01-12 13:27:17.719413-08","2019-01-12 13:27:17.719413-08",725
195,"Lee","Mayberry","",NULL,NULL,NULL,1610612749,"2019-01-12 13:27:17.719413-08","2019-01-12 13:27:17.719413-08",726
103,"Todd","Day","",NULL,NULL,NULL,1610612749,"2019-01-12 13:27:17.719413-08","2019-01-12 13:27:17.719413-08",727
76148,"Tony","Bennett","",NULL,NULL,NULL,1610612766,"2019-01-12 13:27:18.340728-08","2019-01-12 13:27:18.340728-08",728
85,"Brent","Price","",NULL,NULL,NULL,1610612764,"2019-01-12 13:27:18.340728-08","2019-01-12 13:27:18.340728-08",729
931,"Don","MacLean","",NULL,NULL,NULL,1610612764,"2019-01-12 13:27:18.340728-08","2019-01-12 13:27:18.340728-08",730
339,"Tom","Gugliotta","",NULL,NULL,NULL,1610612764,"2019-01-12 13:27:18.340728-08","2019-01-12 13:27:18.340728-08",731
1005,"Walt","Williams","",NULL,NULL,NULL,1610612758,"2019-01-12 13:27:18.364917-08","2019-01-12 13:27:18.364917-08",732
1380,"Lloyd","Daniels","",NULL,NULL,NULL,1610612759,"2019-01-12 13:27:18.364917-08","2019-01-12 13:27:18.364917-08",733
219,"Vinny","Del Negro","",NULL,NULL,NULL,1610612759,"2019-01-12 13:27:18.364917-08","2019-01-12 13:27:18.364917-08",734
406,"Shaquille","O'Neal","",NULL,NULL,NULL,1610612753,"2019-01-12 13:27:18.604233-08","2019-01-12 13:27:18.604233-08",735
228,"Adam","Keefe","",NULL,NULL,NULL,1610612737,"2019-01-12 13:27:18.947705-08","2019-01-12 13:27:18.947705-08",736
221,"Clar.","Weatherspoon","",NULL,NULL,NULL,1610612755,"2019-01-12 13:27:18.949385-08","2019-01-12 13:27:18.949385-08",737
109,"Robert","Horry","",NULL,NULL,NULL,1610612745,"2019-01-12 13:27:20.586587-08","2019-01-12 13:27:20.586587-08",738
1814,"Chris","Smith","",NULL,NULL,NULL,1610612750,"2019-01-12 13:27:21.098453-08","2019-01-12 13:27:21.098453-08",739
363,"Christian","Laettner","",NULL,NULL,NULL,1610612750,"2019-01-12 13:27:21.098453-08","2019-01-12 13:27:21.098453-08",740
78415,"Gundars","Vetra","",NULL,NULL,NULL,1610612750,"2019-01-12 13:27:21.098453-08","2019-01-12 13:27:21.098453-08",741
101258,"Corey","Williams","",NULL,NULL,NULL,1610612741,"2019-01-12 13:27:21.166747-08","2019-01-12 13:27:21.166747-08",742
771,"Elmore","Spencer","",NULL,NULL,NULL,1610612746,"2019-01-12 13:27:21.833287-08","2019-01-12 13:27:21.833287-08",743
324,"Anthony","Peeler","",NULL,NULL,NULL,1610612747,"2019-01-12 13:27:21.833287-08","2019-01-12 13:27:21.833287-08",744
1030,"Duane","Cooper","",NULL,NULL,NULL,1610612747,"2019-01-12 13:27:21.833287-08","2019-01-12 13:27:21.833287-08",745
180,"John","Crotty","",NULL,NULL,NULL,1610612762,"2019-01-12 13:27:22.04533-08","2019-01-12 13:27:22.04533-08",746
1128,"Stephen","Howard","",NULL,NULL,NULL,1610612762,"2019-01-12 13:27:22.04533-08","2019-01-12 13:27:22.04533-08",747
780,"Byron","Houston","",NULL,NULL,NULL,1610612744,"2019-01-12 13:27:22.04533-08","2019-01-12 13:27:22.04533-08",748
24,"Keith","Jennings","",NULL,NULL,NULL,1610612744,"2019-01-12 13:27:22.04533-08","2019-01-12 13:27:22.04533-08",749
84,"Latrell","Sprewell","",NULL,NULL,NULL,1610612744,"2019-01-12 13:27:22.04533-08","2019-01-12 13:27:22.04533-08",750
179,"Bryant","Stith","",NULL,NULL,NULL,1610612743,"2019-01-12 13:27:26.45098-08","2019-01-12 13:27:26.45098-08",751
111,"LaPhonso","Ellis","",NULL,NULL,NULL,1610612743,"2019-01-12 13:27:26.45098-08","2019-01-12 13:27:26.45098-08",752
77777,"Matt","Othick","",NULL,NULL,NULL,1610612759,"2019-01-12 13:27:26.45098-08","2019-01-12 13:27:26.45098-08",753
694,"Sam","Mack","",NULL,NULL,NULL,1610612759,"2019-01-12 13:27:26.45098-08","2019-01-12 13:27:26.45098-08",754
77890,"Anthony","Pullard","",NULL,NULL,NULL,1610612749,"2019-01-12 13:27:27.362333-08","2019-01-12 13:27:27.362333-08",755
907,"Malik","Sealy","",NULL,NULL,NULL,1610612754,"2019-01-12 13:27:27.692897-08","2019-01-12 13:27:27.692897-08",756
93,"Hubert","Davis","",NULL,NULL,NULL,1610612752,"2019-01-12 13:27:28.574668-08","2019-01-12 13:27:28.574668-08",757
399,"Sean","Rooks","",NULL,NULL,NULL,1610612742,"2019-01-12 13:27:28.849183-08","2019-01-12 13:27:28.849183-08",758
1603,"Walter","Bond","",NULL,NULL,NULL,1610612742,"2019-01-12 13:27:28.849183-08","2019-01-12 13:27:28.849183-08",759
114,"Harold","Miner","",NULL,NULL,NULL,1610612748,"2019-01-12 13:27:28.966759-08","2019-01-12 13:27:28.966759-08",760
932,"Oliver","Miller","",NULL,NULL,NULL,1610612756,"2019-01-12 13:27:29.802545-08","2019-01-12 13:27:29.802545-08",761
31,"Lorenzo","Williams","",NULL,NULL,NULL,1610612766,"2019-01-12 13:27:33.645363-08","2019-01-12 13:27:33.645363-08",762
77138,"Dave","Johnson","",NULL,NULL,NULL,1610612757,"2019-01-12 13:27:33.743183-08","2019-01-12 13:27:33.743183-08",763
78201,"Reggie","Smith","",NULL,NULL,NULL,1610612757,"2019-01-12 13:27:33.743183-08","2019-01-12 13:27:33.743183-08",764
145,"Tracy","Murray","",NULL,NULL,NULL,1610612757,"2019-01-12 13:27:33.743183-08","2019-01-12 13:27:33.743183-08",765
78493,"Robert","Werdann","",NULL,NULL,NULL,1610612743,"2019-01-12 13:27:33.743183-08","2019-01-12 13:27:33.743183-08",766
78261,"Alex","Stivrins","",NULL,NULL,NULL,1610612756,"2019-01-12 13:27:54.439179-08","2019-01-12 13:27:54.439179-08",767
77146,"Frank","Johnson","",NULL,NULL,NULL,1610612756,"2019-01-12 13:27:54.439179-08","2019-01-12 13:27:54.439179-08",768
1010,"Randy","Woods","",NULL,NULL,NULL,1610612746,"2019-01-12 13:27:55.91485-08","2019-01-12 13:27:55.91485-08",769
1036,"Litterial","Green","",NULL,NULL,NULL,1610612753,"2019-01-12 13:28:09.3295-08","2019-01-12 13:28:09.3295-08",770
297,"Alonzo","Mourning","",NULL,NULL,NULL,1610612766,"2019-01-12 13:28:15.773785-08","2019-01-12 13:28:15.773785-08",771
76180,"Alex","Blackwell","",NULL,NULL,NULL,1610612747,"2019-01-12 13:28:16.291439-08","2019-01-12 13:28:16.291439-08",772
77647,"Isaiah","Morris","",NULL,NULL,NULL,1610612765,"2019-01-12 13:28:26.459857-08","2019-01-12 13:28:26.459857-08",773
77,"Doug","Overton","",NULL,NULL,NULL,1610612764,"2019-01-12 13:28:29.360324-08","2019-01-12 13:28:29.360324-08",774
944,"Eric","Anderson","",NULL,NULL,NULL,1610612752,"2019-01-12 13:28:37.386433-08","2019-01-12 13:28:37.386433-08",775
1118,"Tim","Kempton","",NULL,NULL,NULL,1610612756,"2019-01-12 13:28:39.643456-08","2019-01-12 13:28:39.643456-08",776
77261,"Stan","Kimbrough","",NULL,NULL,NULL,1610612758,"2019-01-12 13:28:47.829911-08","2019-01-12 13:28:47.829911-08",777
76904,"Jay","Guidinger","",NULL,NULL,NULL,1610612739,"2019-01-12 13:29:02.65735-08","2019-01-12 13:29:02.65735-08",778
77865,"Gary","Plummer","",NULL,NULL,NULL,1610612743,"2019-01-12 13:29:03.39589-08","2019-01-12 13:29:03.39589-08",779
761,"Matt","Geiger","",NULL,NULL,NULL,1610612748,"2019-01-12 13:29:32.764256-08","2019-01-12 13:29:32.764256-08",780
78478,"Marcus","Webb","",NULL,NULL,NULL,1610612738,"2019-01-12 13:29:42.315-08","2019-01-12 13:29:42.315-08",781
76676,"Jojo","English","",NULL,NULL,NULL,1610612741,"2019-01-12 13:30:37.128448-08","2019-01-12 13:30:37.128448-08",782
77486,"Marlon","Maxey","",NULL,NULL,NULL,1610612750,"2019-01-12 13:30:40.713881-08","2019-01-12 13:30:40.713881-08",783
468,"Jon","Barry","",NULL,NULL,NULL,1610612749,"2019-01-12 13:31:20.881109-08","2019-01-12 13:31:20.881109-08",784
30,"Richard","Dumas","",NULL,NULL,NULL,1610612756,"2019-01-12 13:32:39.476945-08","2019-01-12 13:32:39.476945-08",785
76488,"Radisav","Curcic","",NULL,NULL,NULL,1610612742,"2019-01-12 13:32:39.695396-08","2019-01-12 13:32:39.695396-08",786
78227,"Andre","Spencer","",NULL,NULL,NULL,1610612737,"2019-01-12 13:33:55.533806-08","2019-01-12 13:33:55.533806-08",787
76337,"Dexter","Cambridge","",NULL,NULL,NULL,1610612742,"2019-01-12 13:35:14.293612-08","2019-01-12 13:35:14.293612-08",788
1432,"Joe","Courtney","",NULL,NULL,NULL,1610612741,"2019-01-12 13:35:51.529069-08","2019-01-12 13:35:51.529069-08",789
